box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,original_length_mm,original_width_mm,original_height_mm,weight_kg,family,is_food,is_chemical,class_label,fragile,retrieval_priority,support_fraction
19,20,1,3,0,700,250,750,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
20,21,1,3,0,750,250,150,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
21,22,2,2,0,0,0,500,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
22,23,2,2,0,0,0,700,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
23,24,2,2,0,0,0,900,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
24,25,2,2,0,0,0,1100,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
25,26,2,2,0,0,0,1300,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
26,27,2,2,0,0,0,1500,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
27,28,2,2,0,450,0,500,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
28,29,2,2,0,450,0,700,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
29,30,2,2,0,450,0,900,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
30,31,2,2,0,450,0,1100,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
31,32,2,2,0,450,0,1300,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
32,33,3,2,0,450,0,1500,400,300,150,388,260,137,8.2,canned_food,True,False,F,False,3,1.0
33,34,3,2,0,450,0,1650,400,300,150,388,260,137,8.2,canned_food,True,False,F,False,3,1.0
34,35,3,3,0,0,0,0,400,300,150,388,260,137,8.2,canned_food,True,False,F,False,3,1.0
35,36,3,3,0,0,0,150,400,300,150,388,260,137,8.2,canned_food,True,False,F,False,3,1.0
36,37,3,3,0,0,300,0,400,300,150,388,260,137,8.2,canned_food,True,False,F,False,3,1.0
37,38,3,3,0,400,0,0,400,300,150,388,260,137,8.2,canned_food,True,False,F,False,3,1.0
38,39,3,3,0,400,300,0,400,300,150,388,260,137,8.2,canned_food,True,False,F,False,3,1.0
39,40,3,3,0,800,0,0,400,300,150,388,260,137,8.2,canned_food,True,False,F,False,3,1.0
40,41,3,3,0,800,300,0,400,300,150,388,260,137,8.2,canned_food,True,False,F,False,3,1.0
41,42,4,2,0,0,300,1250,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,1.0
42,43,4,2,0,0,300,1500,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,1.0
43,44,4,2,0,300,300,1250,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,1.0
44,45,4,2,0,300,300,1500,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,1.0
45,46,4,2,0,600,300,1250,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,1.0
46,47,4,2,0,600,300,1500,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,1.0
47,48,4,3,0,400,0,150,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,1.0
48,49,4,3,0,700,0,150,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,1.0
49,50,5,2,0,0,300,500,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,0.8
50,51,5,2,0,0,300,650,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
51,52,5,2,0,0,300,800,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
52,53,5,2,0,0,300,950,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
53,54,5,2,0,0,300,1100,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
54,55,5,2,0,300,300,500,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,0.8
55,56,5,2,0,300,300,650,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
56,57,5,2,0,300,300,800,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
57,58,5,2,0,300,300,950,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
58,59,5,2,0,300,300,1100,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
59,60,5,2,0,600,300,500,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,0.8
60,61,5,2,0,600,300,650,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
61,62,5,2,0,600,300,800,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
62,63,5,2,0,600,300,950,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
63,64,5,2,0,600,300,1100,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
64,65,6,1,0,0,0,700,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
65,66,6,1,0,0,0,950,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
66,67,6,1,0,0,0,1200,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
67,68,6,1,0,0,0,1450,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
68,69,6,1,0,0,250,700,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
69,70,6,1,0,0,250,950,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
70,71,6,1,0,0,250,1200,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
71,72,6,1,0,0,250,1450,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
72,73,6,1,0,0,500,700,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
73,74,6,1,0,0,500,950,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
74,75,6,1,0,0,500,1200,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
75,76,6,1,0,0,500,1450,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
76,77,6,1,0,500,0,700,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
77,78,6,1,0,500,0,950,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
78,79,6,1,0,500,0,1200,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
79,80,6,1,0,500,0,1450,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
80,81,6,1,0,500,250,700,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
81,82,6,1,0,500,250,950,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
82,83,6,1,0,500,250,1200,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
83,84,6,1,0,500,250,1450,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
84,85,6,2,0,0,0,0,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
85,86,6,2,0,0,0,250,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
86,87,6,2,0,0,250,0,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
87,88,6,2,0,0,250,250,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
88,89,6,2,0,0,500,0,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
89,90,6,2,0,500,0,0,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
90,91,6,2,0,500,0,250,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
91,92,6,2,0,500,250,0,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
92,93,6,2,0,500,250,250,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
93,94,6,2,0,500,500,0,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
94,95,7,1,0,0,0,0,650,400,350,606,387,347,25.0,household_chem,False,True,C,False,5,1.0
95,96,7,1,0,0,0,350,650,400,350,606,387,347,25.0,household_chem,False,True,C,False,5,1.0
96,97,7,1,0,0,400,0,650,400,350,606,387,347,25.0,household_chem,False,True,C,False,5,1.0
97,98,7,1,0,0,400,350,650,400,350,606,387,347,25.0,household_chem,False,True,C,False,5,1.0
98,99,7,1,1,650,0,0,400,650,350,606,387,347,25.0,household_chem,False,True,C,False,5,1.0
99,100,7,1,1,650,0,350,400,650,350,606,387,347,25.0,household_chem,False,True,C,False,5,1.0
